flavour,weight_in_g,price,price_discounted,price_currency,date
0000,1000,35.99,26.99,EUR,2025-08-17
0000,2500,82.99,56.99,EUR,2025-08-17
0000,5000,156.99,110.99,EUR,2025-08-17
BANA,1000,35.99,26.99,EUR,2025-08-17
BANA,2500,82.99,56.99,EUR,2025-08-17
BANA,5000,156.99,110.99,EUR,2025-08-17
BCRE,1000,35.99,26.99,EUR,2025-08-17
BCRE,2500,82.99,56.99,EUR,2025-08-17
BCRE,5000,156.99,110.99,EUR,2025-08-17
BFGA,1000,35.99,26.99,EUR,2025-08-17
BFGA,2500,82.99,56.99,EUR,2025-08-17
BFGA,5000,156.99,110.99,EUR,2025-08-17
BLCH,1000,35.99,26.99,EUR,2025-08-17
BLCH,2500,82.99,56.99,EUR,2025-08-17
BLCH,5000,156.99,110.99,EUR,2025-08-17
CCAR,1000,35.99,26.99,EUR,2025-08-17
CCAR,2500,82.99,56.99,EUR,2025-08-17
CCAR,5000,156.99,110.99,EUR,2025-08-17
CCNU,1000,35.99,26.99,EUR,2025-08-17
CCNU,2500,82.99,56.99,EUR,2025-08-17
CCNU,5000,156.99,110.99,EUR,2025-08-17
CCOO,1000,35.99,26.99,EUR,2025-08-17
CCOO,2500,82.99,56.99,EUR,2025-08-17
CCOO,5000,156.99,110.99,EUR,2025-08-17
CHOC,1000,35.99,26.99,EUR,2025-08-17
CHOC,2500,82.99,56.99,EUR,2025-08-17
CHOC,5000,156.99,110.99,EUR,2025-08-17
CICM,1000,35.99,26.99,EUR,2025-08-17
CICM,2500,82.99,56.99,EUR,2025-08-17
CICM,5000,156.99,110.99,EUR,2025-08-17
CMHC,1000,35.99,26.99,EUR,2025-08-17
CMHC,2500,82.99,56.99,EUR,2025-08-17
CMHC,5000,156.99,110.99,EUR,2025-08-17
CMIN,1000,35.99,26.99,EUR,2025-08-17
CMIN,2500,82.99,56.99,EUR,2025-08-17
CMIN,5000,156.99,110.99,EUR,2025-08-17
CORA,1000,35.99,26.99,EUR,2025-08-17
CORA,2500,82.99,56.99,EUR,2025-08-17
CORA,5000,156.99,110.99,EUR,2025-08-17
CPEA,1000,35.99,26.99,EUR,2025-08-17
CPEA,2500,82.99,56.99,EUR,2025-08-17
CPEA,5000,156.99,110.99,EUR,2025-08-17
ILAT,1000,35.99,26.99,EUR,2025-08-17
ILAT,2500,82.99,56.99,EUR,2025-08-17
ILAT,5000,156.99,110.99,EUR,2025-08-17
KLPI,1000,35.99,26.99,EUR,2025-08-17
KLPI,2500,82.99,56.99,EUR,2025-08-17
LCOC,0500,19.99,14.99,EUR,2025-08-17
LCOC,1000,35.99,26.99,EUR,2025-08-17
LCOC,2500,82.99,56.99,EUR,2025-08-17
LIQU,2500,84.99,56.99,EUR,2025-08-17
PIST,1000,35.99,26.99,EUR,2025-08-17
RASP,1000,35.99,26.99,EUR,2025-08-17
RASP,2500,82.99,56.99,EUR,2025-08-17
RASP,5000,156.99,110.99,EUR,2025-08-17
RVAN,0500,19.99,14.99,EUR,2025-08-17
RVAN,1000,35.99,26.99,EUR,2025-08-17
RVAN,2500,82.99,56.99,EUR,2025-08-17
SCAL,1000,35.99,26.99,EUR,2025-08-17
SCAL,2500,82.99,56.99,EUR,2025-08-17
SCAL,5000,156.99,110.99,EUR,2025-08-17
SPEC,1000,35.99,26.99,EUR,2025-08-17
SPEC,2500,82.99,56.99,EUR,2025-08-17
STRA,1000,35.99,26.99,EUR,2025-08-17
STRA,2500,82.99,56.99,EUR,2025-08-17
STRA,5000,156.99,110.99,EUR,2025-08-17
TIRA,1000,35.99,26.99,EUR,2025-08-17
TIRA,2500,82.99,56.99,EUR,2025-08-17
TIRA,5000,156.99,110.99,EUR,2025-08-17
VANI,0500,19.99,14.99,EUR,2025-08-17
VANI,1000,35.99,26.99,EUR,2025-08-17
VANI,2500,82.99,56.99,EUR,2025-08-17
VANI,5000,156.99,110.99,EUR,2025-08-17
WCHO,1000,35.99,26.99,EUR,2025-08-17
WCHO,2500,82.99,56.99,EUR,2025-08-17
WCHO,5000,156.99,110.99,EUR,2025-08-17
0000,1000,35.99,26.99,EUR,2025-08-18
0000,2500,82.99,56.99,EUR,2025-08-18
0000,5000,156.99,110.99,EUR,2025-08-18
BANA,1000,35.99,26.99,EUR,2025-08-18
BANA,2500,82.99,56.99,EUR,2025-08-18
BANA,5000,156.99,110.99,EUR,2025-08-18
BCRE,1000,35.99,26.99,EUR,2025-08-18
BCRE,2500,82.99,56.99,EUR,2025-08-18
BCRE,5000,156.99,110.99,EUR,2025-08-18
BFGA,1000,35.99,26.99,EUR,2025-08-18
BFGA,2500,82.99,56.99,EUR,2025-08-18
BFGA,5000,156.99,110.99,EUR,2025-08-18
BLCH,1000,35.99,26.99,EUR,2025-08-18
BLCH,2500,82.99,56.99,EUR,2025-08-18
BLCH,5000,156.99,110.99,EUR,2025-08-18
CCAR,1000,35.99,26.99,EUR,2025-08-18
CCAR,2500,82.99,56.99,EUR,2025-08-18
CCAR,5000,156.99,110.99,EUR,2025-08-18
CCNU,1000,35.99,26.99,EUR,2025-08-18
CCNU,2500,82.99,56.99,EUR,2025-08-18
CCNU,5000,156.99,110.99,EUR,2025-08-18
CCOO,1000,35.99,26.99,EUR,2025-08-18
CCOO,2500,82.99,56.99,EUR,2025-08-18
CCOO,5000,156.99,110.99,EUR,2025-08-18
CHOC,1000,35.99,26.99,EUR,2025-08-18
CHOC,2500,82.99,56.99,EUR,2025-08-18
CHOC,5000,156.99,110.99,EUR,2025-08-18
CICM,1000,35.99,26.99,EUR,2025-08-18
CICM,2500,82.99,56.99,EUR,2025-08-18
CICM,5000,156.99,110.99,EUR,2025-08-18
CMHC,1000,35.99,26.99,EUR,2025-08-18
CMHC,2500,82.99,56.99,EUR,2025-08-18
CMHC,5000,156.99,110.99,EUR,2025-08-18
CMIN,1000,35.99,26.99,EUR,2025-08-18
CMIN,2500,82.99,56.99,EUR,2025-08-18
CMIN,5000,156.99,110.99,EUR,2025-08-18
CORA,1000,35.99,26.99,EUR,2025-08-18
CORA,2500,82.99,56.99,EUR,2025-08-18
CORA,5000,156.99,110.99,EUR,2025-08-18
CPEA,1000,35.99,26.99,EUR,2025-08-18
CPEA,2500,82.99,56.99,EUR,2025-08-18
CPEA,5000,156.99,110.99,EUR,2025-08-18
ILAT,1000,35.99,26.99,EUR,2025-08-18
ILAT,2500,82.99,56.99,EUR,2025-08-18
ILAT,5000,156.99,110.99,EUR,2025-08-18
KLPI,1000,35.99,26.99,EUR,2025-08-18
KLPI,2500,82.99,56.99,EUR,2025-08-18
LCOC,0500,19.99,14.99,EUR,2025-08-18
LCOC,1000,35.99,26.99,EUR,2025-08-18
LCOC,2500,82.99,56.99,EUR,2025-08-18
LIQU,2500,84.99,56.99,EUR,2025-08-18
PIST,1000,35.99,26.99,EUR,2025-08-18
RASP,1000,35.99,26.99,EUR,2025-08-18
RASP,2500,82.99,56.99,EUR,2025-08-18
RASP,5000,156.99,110.99,EUR,2025-08-18
RVAN,0500,19.99,14.99,EUR,2025-08-18
RVAN,1000,35.99,26.99,EUR,2025-08-18
RVAN,2500,82.99,56.99,EUR,2025-08-18
SCAL,1000,35.99,26.99,EUR,2025-08-18
SCAL,2500,82.99,56.99,EUR,2025-08-18
SCAL,5000,156.99,110.99,EUR,2025-08-18
SPEC,1000,35.99,26.99,EUR,2025-08-18
SPEC,2500,82.99,56.99,EUR,2025-08-18
STRA,1000,35.99,26.99,EUR,2025-08-18
STRA,2500,82.99,56.99,EUR,2025-08-18
STRA,5000,156.99,110.99,EUR,2025-08-18
TIRA,1000,35.99,26.99,EUR,2025-08-18
TIRA,2500,82.99,56.99,EUR,2025-08-18
TIRA,5000,156.99,110.99,EUR,2025-08-18
VANI,0500,19.99,14.99,EUR,2025-08-18
VANI,1000,35.99,26.99,EUR,2025-08-18
VANI,2500,82.99,56.99,EUR,2025-08-18
VANI,5000,156.99,110.99,EUR,2025-08-18
WCHO,1000,35.99,26.99,EUR,2025-08-18
WCHO,2500,82.99,56.99,EUR,2025-08-18
WCHO,5000,156.99,110.99,EUR,2025-08-18
